ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
EAEA0-B2C6-E6DC-EBAE-0,1878-Artefact1-Brough_Smythe-Aborigines_of_Victoria-vol1-p354.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_B.zip,amsd/EAEA0-B/EAEA0-B2C6-E6DC-EBAE-0.png
EAEA0-B2C6-E6DC-EBAE-0_t,t_1878-Artefact1-Brough_Smythe-Aborigines_of_Victoria-vol1-p354.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B2C6-E6DC-EBAE-0.jpg
EAEA0-B2C6-E6DC-EBAE-0_w,w_1878-Artefact1-Brough_Smythe-Aborigines_of_Victoria-vol1-p354.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B2C6-E6DC-EBAE-0.jpg
EAEA0-A5B7-6D86-3AF2-0,y-1878-Artefact1-Brough_Smythe-p354_black.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_A.zip,amsd/EAEA0-A/EAEA0-A5B7-6D86-3AF2-0.png
EAEA0-A5B7-6D86-3AF2-0_t,t_y-1878-Artefact1-Brough_Smythe-p354_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A5B7-6D86-3AF2-0.jpg
EAEA0-A5B7-6D86-3AF2-0_w,w_y-1878-Artefact1-Brough_Smythe-p354_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A5B7-6D86-3AF2-0.jpg
EAEA0-9806-BE1D-12ED-0,1870-PROV-NGV_register_of_inward_correspondence.pdf,,application/pdf,https://zenodo.org/records/21504350/files/amsd_media_9.zip,amsd/EAEA0-9/EAEA0-9806-BE1D-12ED-0.pdf
EAEA0-6C1C-0B34-00A0-0,1985-PROV-List_of_holdings.pdf,,application/pdf,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-6C1C-0B34-00A0-0.pdf
EAEA0-484A-B142-8A62-0,MusV_000970_a.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_4.zip,amsd/EAEA0-4/EAEA0-484A-B142-8A62-0.jpg
EAEA0-484A-B142-8A62-0_t,t_MusV_000970_a.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-484A-B142-8A62-0.jpg
EAEA0-484A-B142-8A62-0_w,w_MusV_000970_a.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-484A-B142-8A62-0.jpg
EAEA0-DDC9-CEA4-0BD3-0,MusV_000970_b.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_D.zip,amsd/EAEA0-D/EAEA0-DDC9-CEA4-0BD3-0.jpg
EAEA0-DDC9-CEA4-0BD3-0_t,t_MusV_000970_b.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-DDC9-CEA4-0BD3-0.jpg
EAEA0-DDC9-CEA4-0BD3-0_w,w_MusV_000970_b.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-DDC9-CEA4-0BD3-0.jpg
EAEA0-33AC-1D17-D7CF-0,MusV_000970_c.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_3.zip,amsd/EAEA0-3/EAEA0-33AC-1D17-D7CF-0.jpg
EAEA0-33AC-1D17-D7CF-0_t,t_MusV_000970_c.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-33AC-1D17-D7CF-0.jpg
EAEA0-33AC-1D17-D7CF-0_w,w_MusV_000970_c.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-33AC-1D17-D7CF-0.jpg
EAEA0-C5F1-694B-5FDB-0,MusV_X_970.png,,image/gif,https://zenodo.org/records/21504350/files/amsd_media_C.zip,amsd/EAEA0-C/EAEA0-C5F1-694B-5FDB-0.gif
EAEA0-C5F1-694B-5FDB-0_t,t_MusV_X_970.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-C5F1-694B-5FDB-0.jpg
EAEA0-C5F1-694B-5FDB-0_w,w_MusV_X_970.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-C5F1-694B-5FDB-0.jpg
EAEA0-E325-30CC-4736-0,1889-Artefact_fig01-Howitt-Notes_on_Australian_message_sticks-p331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_E.zip,amsd/EAEA0-E/EAEA0-E325-30CC-4736-0.jpg
EAEA0-E325-30CC-4736-0_t,t_1889-Artefact_fig01-Howitt-Notes_on_Australian_message_sticks-p331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E325-30CC-4736-0.jpg
EAEA0-E325-30CC-4736-0_w,w_1889-Artefact_fig01-Howitt-Notes_on_Australian_message_sticks-p331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E325-30CC-4736-0.jpg
EAEA0-75CD-AA38-F9FF-0,1904-Artefact01_fig43-Howitt-The_native_tribes-p696.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_7.zip,amsd/EAEA0-7/EAEA0-75CD-AA38-F9FF-0.JPG
EAEA0-75CD-AA38-F9FF-0_t,t_1904-Artefact01_fig43-Howitt-The_native_tribes-p696.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-75CD-AA38-F9FF-0.jpg
EAEA0-75CD-AA38-F9FF-0_w,w_1904-Artefact01_fig43-Howitt-The_native_tribes-p696.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-75CD-AA38-F9FF-0.jpg
EAEA0-6285-4D6A-DC07-0,PRM-1989.46.3_01.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-6285-4D6A-DC07-0.png
EAEA0-6285-4D6A-DC07-0_t,t_PRM-1989.46.3_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6285-4D6A-DC07-0.jpg
EAEA0-6285-4D6A-DC07-0_w,w_PRM-1989.46.3_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6285-4D6A-DC07-0.jpg
EAEA0-B87B-92B8-2E39-0,PRM-1989.46.3_02.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_B.zip,amsd/EAEA0-B/EAEA0-B87B-92B8-2E39-0.png
EAEA0-B87B-92B8-2E39-0_t,t_PRM-1989.46.3_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B87B-92B8-2E39-0.jpg
EAEA0-B87B-92B8-2E39-0_w,w_PRM-1989.46.3_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B87B-92B8-2E39-0.jpg
EAEA0-6174-CCEC-0B09-0,PRM-1989.46.3_03.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-6174-CCEC-0B09-0.png
EAEA0-6174-CCEC-0B09-0_t,t_PRM-1989.46.3_03.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6174-CCEC-0B09-0.jpg
EAEA0-6174-CCEC-0B09-0_w,w_PRM-1989.46.3_03.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6174-CCEC-0B09-0.jpg
EAEA0-68C3-2CF2-CDDD-0,y-PRM-1989.46.3_01_traced_black.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-68C3-2CF2-CDDD-0.png
EAEA0-68C3-2CF2-CDDD-0_t,t_y-PRM-1989.46.3_01_traced_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-68C3-2CF2-CDDD-0.jpg
EAEA0-68C3-2CF2-CDDD-0_w,w_y-PRM-1989.46.3_01_traced_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-68C3-2CF2-CDDD-0.jpg
