ID,Stick_IDs
1,SAM_A_69467 CPM1938P125F10
2,BM_Oc1901_1221_19 BM_Oc1901_1221_16 BM_Oc1901_1221_20
3,BM_Oc1950_03_1 BM_Oc1950_03_2
4,SAM_A_3826_c SAM_A_3826_a SAM_A_3826_e SAM_A_3826_d SAM_A_3826_b
5,SAM_A_3850_a SAM_A_3850_b SAM_A_3850_d SAM_A_3850_c
6,SAM_A_44053 SAM_A_44055 SAM_A_44054 SAM_A_3851 SAM_A_44056
7,SAM_A_3852_d SAM_A_3852_c SAM_A_3852_b SAM_A_3852_e SAM_A_3852_a
8,SAM_A_44052 SAM_A_44049 SAM_A_44048 SAM_A_44050 SAM_A_44051 SAM_A_3853
9,SAM_A_44021 SAM_A_3855
10,SAM_A_14533 SAM_A_14534
11,SAM_A_16448 SAM_A_16450 SAM_A_16447 SAM_A_16449
12,SAM_A_45826 SAM_A_45824 SAM_A_45825
13,SAM_A_60331_a SAM_A_60331_b
14,JUNUNWANGA1980 NJIMINJUMA1980
15,BM_Oc1981_15_15 BM_Oc1981_15_16 BM_Oc1981_15_14 BM_Oc1981_15_17
16,AMus_E053222_006 AMus_E053222_003 AMus_E053222_001 AMus_E053222_005 AMus_E053222_002 AMus_E053222_004
17,AMus_E013401 AMus_E013404 AMus_E013402 AMus_E013403
18,YMG2018_01 YMG2017 YMG2018_02 YMG2018_03
19,MusV_X_26934 MusV_X_26937 MusV_X_26933 MusV_X_26936 MusV_X_26935 MusV_X_26938 MusV_X_26932
20,MusV_X_044115 MusV_X_044116 MusV_X_044114
21,MusV_X_96605 MusV_X_96604 MusV_X_96603 MusV_X_45154
22,MusV_X_105553 MusV_X_105554
23,20230619b_ebay 20230619a_ebay
24,SAM_A_15403 SAM_A_15401 SAM_A_15402
25,UNIMUS_UEM9028 UNIMUS_UEM9029 UNIMUS_UEM12556
26,HMG26_109i HMG26_109ii HMG26_109iv HMG26_109iii
27,MAA_Z15031_B MAA_Z15031_A
28,MAA_Z27640_A MAA_Z27640_B MAA_Z27640_C
29,AMus_E010384 AMus_E010388 WBS1928V2P850F556N1 WBS1928V2P850F556N2 AMus_E010386 AMus_E010383 AMus_E010387 AMus_E010385
30,PMH234670_D1730_0 PMH234670_D1730_1
31,BMCA2015_17_41_3 BMCA2015_17_41_2
32,UNEMA1983_2_75 AFM1983_2_75 UNEMA1983_2_74
33,NMVW_RV_642_9 NMVW_RV_642_8
34,HEM68322_b HEM68322_a
35,PMH254670_D2439_3 PMH254670_D2439_2 PMH254670_D2439_1
36,CAC988_4_15b CAC988_4_15a
37,KSC2021_106_1 KSC2021_106_2
38,KSC2021_109_1 KSC2021_109_2
39,UOG_GLAHM_E_1928_44_2 UOG_GLAHM_E_1928_44_1
40,UQAM7779 UQAM7780
41,UQAM40312 UQAM40313
