pk,name,oid,path
1,1878-Artefact1-Brough_Smythe-Aborigines_of_Victoria-vol1-p354.png,EAEA0-B2C6-E6DC-EBAE-0,1878_Artefact1_Brough_Smythe_Aborigines_of_Victoria_vol1_p354.png
2,y-1878-Artefact1-Brough_Smythe-p354_black.png,EAEA0-A5B7-6D86-3AF2-0,y_1878_Artefact1_Brough_Smythe_p354_black.png
3,1889-Artefact_fig01-Howitt-Notes_on_Australian_message_sticks-p331.jpg,EAEA0-E325-30CC-4736-0,1889_Artefact_fig01_Howitt_Notes_on_Australian_message_sticks_p331.jpg
4,1904-Artefact01_fig43-Howitt-The_native_tribes-p696.JPG,EAEA0-75CD-AA38-F9FF-0,1904_Artefact01_fig43_Howitt_The_native_tribes_p696.JPG
5,PRM-1989.46.3_01.png,EAEA0-6285-4D6A-DC07-0,PRM_1989.46.3_01.png
6,PRM-1989.46.3_02.png,EAEA0-B87B-92B8-2E39-0,PRM_1989.46.3_02.png
7,PRM-1989.46.3_03.png,EAEA0-6174-CCEC-0B09-0,PRM_1989.46.3_03.png
8,y-PRM-1989.46.3_01_traced_black.png,EAEA0-68C3-2CF2-CDDD-0,y_PRM_1989.46.3_01_traced_black.png
9,1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-D680-15A7-4AFB-0,1889_Artefact_fig04_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
10,PRM-1989.46.9.png,EAEA0-574A-906F-821C-0,PRM_1989.46.9.png
11,1904-Artefact05_fig44-Howitt-The_native_tribes-p704.JPG,EAEA0-F1CD-8993-05DB-0,1904_Artefact05_fig44_Howitt_The_native_tribes_p704.png
12,y-1889-Artefact_fig04-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-F45F-9E2E-3BB9-0,y_1889_Artefact_fig04_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
13,1889-Artefact_fig05-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-6701-58E8-9DF7-0,1889_Artefact_fig05_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
14,EMB-VI_NLS_4370-05.jpg,EAEA0-11F3-EFAC-7FB3-0,EMB_VI_NLS_4370_05.jpg
15,EMB-VI_NLS_4370-01.jpg,EAEA0-7699-83B4-D603-0,EMB_VI_NLS_4370_01.jpg
16,EMB-VI_NLS_4370-04.jpg,EAEA0-08AF-A950-DA0B-0,EMB_VI_NLS_4370_04.jpg
17,EMB-VI_NLS_4370-06.jpg,EAEA0-42F6-D3F6-9230-0,EMB_VI_NLS_4370_06.jpg
18,EMB-VI_NLS_4370-02.jpg,EAEA0-347A-A8CA-5EEF-0,EMB_VI_NLS_4370_02.jpg
19,EMB-VI_NLS_4370-03.jpg,EAEA0-9B8A-742F-3D69-0,EMB_VI_NLS_4370_03.jpg
20,1889-Artefact_fig07-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-21CD-5B2C-CA7A-0,1889_Artefact_fig07_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
21,1889-Artefact_fig06-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-9882-4179-01F2-0,1889_Artefact_fig06_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
22,PRM-1989.46.8_01.png,EAEA0-7065-7F05-B4E8-0,PRM_1989.46.8_01.png
23,PRM-1989.46.8_02.png,EAEA0-B295-7715-580B-0,PRM_1989.46.8_02.png
24,1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-E335-F587-6A9A-0,1889_Artefact_fig08_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
25,1904-Artefact05_fig43-Howitt-The_native_tribes-p696.JPG,EAEA0-8FB5-7227-89C1-0,1904_Artefact05_fig43_Howitt_The_native_tribes_p696.png
26,y-1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-E69F-7E91-91AD-0,y_1889_Artefact_fig08_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
27,1915_Weule_p.64_02.png,EAEA0-9245-A8B2-6B4C-0,1915_Weule_p.64_02.png
28,1915_Weule_p.64_01.png,EAEA0-076A-EEDD-2BDD-0,1915_Weule_p.64_01.png
29,1904-Artefact07_fig44-Howitt-The_native_tribes-p704.JPG,EAEA0-E9E2-3278-1ABA-0,1904_Artefact07_fig44_Howitt_The_native_tribes_p704.png
30,1904-Artefact06_fig44-Howitt-The_native_tribes-p704.JPG,EAEA0-D64B-DAA2-8CD1-0,1904_Artefact06_fig44_Howitt_The_native_tribes_p704.JPG
31,y-1889_Howitt_p330_Fig.10_black.png,EAEA0-8A75-081A-A648-0,y_1889_Howitt_p330_Fig.10_black.png
32,1889_Howitt_p330_Fig.10.png,EAEA0-777C-786A-E561-0,1889_Howitt_p330_Fig.10.png
33,1889_Howitt_p330_Fig.9.png,EAEA0-A9AB-85E5-85A2-0,1889_Howitt_p330_Fig.9.png
34,1940_Frank_Fig.25a.png,EAEA0-368D-90C7-FFE9-0,1940_Frank_Fig.25a.png
35,1940_Frank_Fig.25b.png,EAEA0-079A-F8E9-C650-0,1940_Frank_Fig.25b.png
36,y-1889_Howitt_p330_Fig.9_black.png,EAEA0-2482-0026-7DD6-0,y_1889_Howitt_p330_Fig.9_black.png
37,1904-Artefact08_fig44-Howitt-The_native_tribes-p704.JPG,EAEA0-DBC0-A94A-ED42-0,1904_Artefact08_fig44_Howitt_The_native_tribes_p704.png
38,1940_Frank_Fig.13.png,EAEA0-E4A5-5BC8-0121-0,1940_Frank_Fig.13.png
39,1889-Artefact_fig11-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-A709-764E-DCEC-0,1889_Artefact_fig11_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
40,1889-Artefact_fig12-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-87CB-90EA-1CAA-0,1889_Artefact_fig12_Howitt_Notes_on_Australian_message_sticks_p330_331.png
41,1904-Artefact09_fig44-Howitt-The_native_tribes-p704.JPG,EAEA0-EA04-643D-28DA-0,1904_Artefact09_fig44_Howitt_The_native_tribes_p704.png
42,y-1889-Artefact_fig11-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-68F5-BFE5-7587-0,y_1889_Artefact_fig11_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
43,y-1889-Artefact_fig12-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,EAEA0-E3CD-E3C5-1BD4-0,y_1889_Artefact_fig12_Howitt_Notes_on_Australian_message_sticks_p330_331_black.png
44,1904-Artefact11_fig44-Howitt-The_native_tribes-p704.png,EAEA0-FB53-59AD-FF10-0,1904_Artefact11_fig44_Howitt_The_native_tribes_p704.png
45,y-1889-Artefact_fig13-Howitt-p330-331_black.png,EAEA0-3805-8AE4-9986-0,y_1889_Artefact_fig13_Howitt_p330_331_black.png
46,1889-Artefact_fig13-Howitt-Notes_on_Australian_message_sticks-p330-331.png,EAEA0-47B3-399F-EB1B-0,1889_Artefact_fig13_Howitt_Notes_on_Australian_message_sticks_p330_331.png
47,1904-Artefact04_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-EC6C-FF00-BADA-0,1904_Artefact04_fig45_Howitt_The_native_tribes_p708.JPG
48,1889-Artefact_fig14-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-2A3A-0F54-C3FE-0,1889_Artefact_fig14_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
49,1904-Artefact03_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-F89C-02E2-78D3-0,1904_Artefact03_fig45_Howitt_The_native_tribes_p708.JPG
50,1904-Howitt-The_native_tribes.pdf,EAEA0-7C39-9C7F-D2AC-0,1904_Howitt_The_native_tribes.pdf
51,PRM-1989.46.1_02.png,EAEA0-C5D6-095E-9823-0,PRM_1989.46.1_02.png
52,PRM-1989.46.1_01.png,EAEA0-DFEF-FAB6-BE1B-0,PRM_1989.46.1_01.png
53,1904-Artefact01_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-8F23-DD2D-C46E-0,1904_Artefact01_fig45_Howitt_The_native_tribes_p708.JPG
54,1904-Artefact02_fig45-Howitt-The_native_tribes-p708.JPG,EAEA0-ABB6-3485-CC6D-0,1904_Artefact02_fig45_Howitt_The_native_tribes_p708.JPG
55,1889-Artefact_fig16-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-E3EB-4425-FFBE-0,1889_Artefact_fig16_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
56,1889-Artefact_fig15-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,EAEA0-D686-69FD-4A89-0,1889_Artefact_fig15_Howitt_Notes_on_Australian_message_sticks_p330_331.jpg
