pk,name
1,wood plant
2,cotton yarn plant
3,string binding
4,kaolin clay
5,pigment
6,cuttibundi
7,quinine
8,peruvian bark
9,ironbark
10,white gum
11,pine wood
12,bean-tree wood
13,wood
14,"wood (""grey"" gum)"
15,leichhardt pine wood
16,animal fur skin
17,string
18,bark
19,fibre string
20,resin - non specific
21,resin
22,feather
23,rope
24,ochre
25,wattle wood (?)
26,mimosa wood (?)
27,emu fat
28,charcoal
29,corkwood
30,soil
31,bamboo
32,sandalwood
33,hardwood
34,brown wood
35,bone
36,plant fiber
37,gum
38,animal dung
39,textile
40,ana-jalhout
41,wood (ana-jal)
42,pigment?
43,paint
44,wattle
45,natural pigments (ochre)
46,paper
47,ink
48,ochre pigment
49,mungal wood
50,soft wood
51,carved wood
52,feathers
53,ochres on ironwood
54,ochres on wood
55,plant fibre string
56,fibre cords
57,ochres
58,ink on wood
59,wood with color
60,with color
61,adhesive - non specific
62,red pigment
63,reddish-brown iron wood
64,wood; pigment
65,"bamboo (according to the accession registers: ""prior material: wood"")"
66,wood; resin
67,wood; pigment; rockets blue
68,wood; pigment; stone; resin
69,wood and pigment
70,bone (according to icm online catalogue)
71,ocher
72,plant fibers
73,wood; ocher
74,wood; dye; pigment
75,wood; color pigment
76,white paper
77,wood; putty; organic
78,wood; unknown material
79,wood; pigment; binder
80,organic;
