pk,name
1,"Brough Smythe, R. 1878. The Aborigines of Victoria: With notes relating to the habits of natives of other parts of Australia and Tasmania. Vol. I. Melbourne & London: John Ferres."
2,"National Gallery of Victoria. 1878. Catalogue of the objects of ethnotypical art in the National Gallery published by direction of the trustees of the public library and museums of Victoria. Melbourne: Mason, Firth & M'Cutcheon."
3,"1904 ‘SKETCHER.’, The Queenslander (Brisbane, Qld. : 1866 - 1939), 23 July, p. 27. , viewed 30 Jul 2018, http://nla.gov.au/nla.news-article22267154"
4,"Howitt, A. W. 1889. “Notes on Australian Message Sticks and Messengers”. The Journal of the Anthropological Institute of Great Britain and Ireland 18. [Royal Anthropological Institute of Great Britain and Ireland, Wiley]: 314–32"
5,"Howitt, A. W. 1904. The native tribes of southeast Australia. London: Macmillan and Co., Limited."
6,"Frank, Maria. 1940. ""Botenstäbe in Australien."""
7,Zeitschrift für Ethnologie 72 (4/6): 328-352.
8,"Weule, Karl. 1915. Vom Kerbstock zum Alphabeth. Urform der Schrift. Stuttgart."
9,"Bucknell, F. N. 1897. “Message sticks and their meanings by Mr. Bucknell.”"
10,The Australasian Anthropological Journal 1 (3):10-11.
11,"Mathews, Robert Hamilton. 1897. “Message-sticks used by the Aborigines of Australia “"
12,American Anthropologist 10 (9):288-298.
13,"Mathews, R. H. 1898. ""Message sticks."""
14,Scientific American Supplement 46:19195-1915.
15,"Hamlyn Harris, R. 1918. “On messages and ‘message sticks’ employed among the Queensland Aborigines.”"
16,Memoirs of the Queensland Museum 6:13-36.
17,"Thorpe, W. W. 1926. “Aboriginal message sticks.”"
18,The Australian Museum Magazine 2 (12):423-425.
19,"Mountford, C. P. 1938. “Aboriginal message sticks from the Nullabor Plains.”"
20,Transactions of the Royal Society of South Australia 62 (1):122-126.
21,"1938 'How Natives Signal Their News Far and Wide', The Advertiser (Adelaide, SA : 1931 - 1954), 19 March, p. 12. , viewed 17 Aug 2016, http://nla.gov.au/nla.news-article30853888"
22,"Bastian, Adolf. 1880. Message-sticks der Australie. In Verhandlungen der Berliner Anthropologischer Gesellschaft. 240-242"
23,"Bastian, Adolf. 1881. “Australische Schriftsubstitute” [Australian substitutes for writing]. Zeitschrift fur Ethnologie, Transactions. 13: 192-193."
24,"Dawson, James. 1881. Australian Aborigines: The languages and customs of several tribes of Aborigines in the western district of Victoria, Australia. Melbourne, Sydney and Adelaide: George Robertson."
25,"Curr, Edward M. 1886. The Australian race: Its origin, languages, customs, place of landing in Australia and the routes by which it spread itself over that continent. 5 vols. Vol. 1. Melbourne: John Ferres."
26,"Lumholtz, Carl. 1889. Among cannibals: an account of four years' travels in Australia and of camp life with the aborigines of Queensland. New York: C. Scribner's Co."
27,Anonymous. 1896. “The message sticks.” The Australasian Anthropological Journal 1 (1):10-11.
28,"Roth, Walter Edmund. 1897. Ethnological studies among the north-west-central Queensland Aborigines. Brisbane: Edmund Gregory."
29,"Howitt, A. W. 1889. ""Notes on Australian message sticks and messengers."""
30,The Journal of the Anthropological Institute of Great Britain and Ireland 18:314-332.
31,"Carnegie, David Winford. 1898. Spinifex and sand: A narrative of five years' pioneering and exploration in Western Australia. London: C. A. Pearson."
32,"Ramsay Smith, W. 1907. “Notes on Aboriginals of the Northern Territory of South Australia.” Proceedings of the Royal Society of Edinburgh 27:51-63."
33,"Memmot, Paul. 2010. Material culture of the North Wellesley Islands. Brisbane: Aboriginal and Torres Strait Islander Studies Unit, University of Queensland."
34,"1886 'Last of the Tribe.', Australian Town and Country Journal (Sydney, NSW : 1870 - 1907), 7 August, p. 19. , viewed 10 Aug 2016, http://nla.gov.au/nla.news-article71065972"
35,"1897 'MESSAGE STICKS.', Evening News (Sydney, NSW : 1869 - 1931), 4 December, p. 3. (EVENING NEWS SUPPLEMENT.), viewed 15 Aug 2016, http://nla.gov.au/nla.news-article108878379"
36,"1907 'Early Western Australia.', Western Mail (Perth, WA : 1885 - 1954), 25 December, p. 11. , viewed 16 Aug 2016, http://nla.gov.au/nla.news-article37571960"
37,"1910 'ABORIGINAL CURIOSITIES.', The Week (Brisbane, Qld. : 1876 - 1934), 15 April, p. 21. , viewed 16 Aug 2016, http://nla.gov.au/nla.news-article187336691"
38,"1923 'EARLIEST MAN.', The Daily Mail (Brisbane, Qld. : 1903 - 1926), 19 February, p. 5. , viewed 16 Aug 2016, http://nla.gov.au/nla.news-article218979901"
39,"Vive, Qui. 1923 'ROUND THE CITY', Saturday Journal (Adelaide, SA : 1923 - 1929), 29 September, p. 17. , viewed 16 Aug 2016, http://nla.gov.au/nla.news-article199233785"
40,"1925 'ABORIGINAL MARCHING ORDERS. A MESSAGE STICK INTERPRETED.', The Register (Adelaide, SA : 1901 - 1929), 24 October, p. 11. , viewed 16 Aug 2016, http://nla.gov.au/nla.news-article64236234"
41,"1928 'In Camp with the Stone-Age Men', Table Talk (Melbourne, Vic. : 1885 - 1939), 1 November, p. 135. , viewed 17 Aug 2016, http://nla.gov.au/nla.news-article150928223"
42,"1951 'NATIVES SEND A MESSAGE TO THE ""BIG BOSS""', The World's News (Sydney, NSW : 1901 - 1955), 23 June, p. 11. , viewed 17 Aug 2016, http://nla.gov.au/nla.news-article139910878"
43,"Idriess, Ion L. 1948. Over the range: Sunshine and shadow in the Kimberleys. Sydney: Angus & Robertson."
44,"1934 'STONE AGE', The Sun (Sydney, NSW : 1910 - 1954), 27 January, p. 3. (LAST RACE RESULTS), viewed 19 Aug 2016, http://nla.gov.au/nla.news-article230516978"
45,"1935 'PRIMITIVE LETTERS', The Telegraph (Brisbane, Qld. : 1872 - 1947), 31 August, p. 16. (LATEST FINAL CABLES), viewed 19 Aug 2016, http://nla.gov.au/nla.news-article180628845"
46,"Kemarr, Donald Thompson, and David Moore. 1999. ""Artwa apmwa atherr [Two poison men]: Interlinear text of recording made by David Moore of senior Alyawarr man Donald Thompson Kemarr in October 1999 at Ampilatwatja."""
47,"Sale item, www.carters.com.au"
48,"Weule, Karl. 1915. ""Botenstäbe bei den Buschmännern: Eine südafrikanish-australische Parallele."" In Jahrbuch des Städtischen Museums für Völkerkunde zu Leipzig: Herausgegeben von der Direktion, edited by Städtisches Museum für Völkerkunde zu Leipzig, 42-48. Leipzig."
49,"Part of an illustration to a fictional series in the Brisbane Telegraph featuring the adventures of Captain Coldweather, Tom Barnacle, Mrs Noah and Bosun Bill. It is likely that this artefact is from the collection of WE Roth, who is cited. Two other artefacts in the same photograph can be positively traced to Roth's collection as illustrated in Roth's 'Ethnological studies among the north-west-central Queensland Aborigines' (1897). The images two artefacts have been merged with the records derived from Roth (1897)."
50,"Clement, Emile. 1904. ""Ethnographical notes on the Western-Australian Aborigines: With a descriptive catalogue of a collection of ethnographical objects from Western Australia by J.D.E Schmeltz."""
51,Internationales Archiv für Ethnographie 16 (1/2):1-29.
52,"Webster, W. D. 1911. Catalogues of ethnographical specimens. Leicester: Bernard Halliday, Dryden House."
53,"McConnel, Ursula H. 1953. ""Native arts and industries on the Archer, Kendall and Holroyd Rivers, Cape York Peninsula, North Queensland."""
54,Records of the South Australian Museum 11 (1):1-42.
55,"Read, Charles H. 1910. Handbook to the ethnographical collections. Oxford: British Museum & Oxford University Press. p114"
56,"Email from MG to Piers Kelly, 6 August 2018."
57,"Dixon, R. M. W. 1972. The Dyirbal Language of North Queensland. Cambridge: Cambridge University Press."
58,"Coate, Howard H. J., and A. P. Elkin. 1974. Ngarinjin-English Dictionary. Vol. 16. Oceania Linguistic Monographs. Sydney: University of Sydney."
59,"Curr, Edward M. 1887. The Australian race: Its origin, languages, customs, place of landing in Australia and the routes by which it spread itself over that continent. 5 vols. Vol. 3. Melbourne: John Ferres."
60,"Kenny, Anna. 2018. Carl Strehlow’s 1909 Comparative Heritage Dictionary: An Aranda, German, Loritja and Dieri to English Dictionary with Introductory Essays. Canberrra: ANU Press."
61,"Erckenbrecht, Corinna. 2010. Auf der Suche den Ursprüngen: Die Australienreise des Anthropologen und Sammlers Hermann Klaatsch 1904-1907. Cologne: Gesellschaft für Völkerkunde, Verein zur Förderung des Rautenstrauch-Joest-Museums der Stadt Köln."
62,Charles P. Mountford (1958). The Tiwi: their Art Myth and Ceremony. London Phoenix Melbourne: Georgian House.
63,"Gatty, Charles T. 1879. Liverpool Free Public Library, Museum and Gallery of Art: Catalogue of the Mayer Collection. Part I. The Egyptian, Babylonian and Assyrian antiquities. London: Bradbury, Agnew & Co."
64,MV register
65,"Charles P Mountford, 'Records of the American-Australian Scientific Expedition to Arnhem Land, 1, Art, Myth and Symbolism' (Carlton: Melbourne University Press, 1956)."
66,"Alpher, Barry. 1991. Yir-Yoront Lexicon: Sketch and Dictionary of an Australian Language. Vol. 6. Trends in Linguistics: Documentation. Berlin, New York: Berlin: Mouton de Gruyter."
67,"Blake, Barry J. 2003. The Warrnambool language: A consolidated account of the Aboriginal language of the Warrnambool area of the Western District of Victoria based on nineteenth-century sources. Canberra: Pacific Linguistics."
68,"McDonald, M, and S. A Wurm. 1979. Basic materials in Waŋkumara (Galali): Grammar, sentences and vocabulary. Canberra: Pacific Linguistics, p.111"
69,"Howitt, A. W. 1882. “Letter from A.W. Howitt to Edward B Tylor, 21 January 1882.” In Transcription of Box 12: Howitt correspondence Tylor papers Pitt Rivers Museum manuscript collections Part 1. Cambridge: Pitt Rivers Museum."
