pk,name
1,incised
2,carved
3,notched
4,bound
5,incised  carved
6,painted (blue)
7,raddled with a dark-red ochre
8,ochred
9,twisted
10,pigmented
11,engraved
12,pyro-engraved
13,red-colored
14,painted
15,painted (red)
16,"berndt card file under 'condition/preservation': ""sprayed 1971"""
17,etching
18,burnt
19,carved and pokerwork
20,etched
21,pyro-engraved (the term refers to a technique used to decorate wood or other materials with burn marks created with a heated object used to engrave or incise the surface of the object.)
