stick_pk,keywords_pk
1,1
1,2
1,3
2,1
2,4
2,5
2,6
2,7
2,8
3,1
3,4
3,7
3,5
3,9
4,1
4,10
4,7
5,1
5,5
5,7
5,11
6,1
6,4
6,7
6,12
6,13
6,5
7,1
7,4
7,7
7,14
7,5
8,15
8,4
8,7
8,16
9,1
9,4
9,17
9,5
10,1
10,7
10,5
10,18
11,1
11,4
11,19
11,7
11,5
11,20
11,21
11,11
12,10
12,22
12,23
13,1
13,24
13,5
14,1
14,4
14,7
14,25
14,26
14,5
15,1
15,19
15,4
15,6
15,5
15,27
16,1
16,4
16,7
16,5
16,6
16,28
17,1
17,5
18,1
18,4
18,5
18,19
18,6
18,29
19,1
19,19
19,4
19,10
19,30
20,1
20,5
21,1
21,5
22,1
22,5
23,10
25,10
26,10
27,1
27,4
27,31
29,10
30,1
30,4
30,5
30,32
31,10
32,10
33,10
34,1
34,4
34,5
34,7
34,33
35,1
35,4
35,34
35,5
35,35
36,5
37,1
37,5
37,13
38,10
39,10
40,10
42,10
43,10
44,1
44,24
44,5
44,7
45,1
45,24
45,5
45,7
46,1
46,5
46,7
47,1
47,5
47,7
48,10
49,4
49,1
49,5
49,7
49,36
50,10
51,10
52,1
52,5
52,24
52,37
52,38
53,1
53,5
53,4
53,39
53,40
53,41
53,11
53,42
54,5
54,43
55,10
56,1
56,5
56,4
56,44
56,45
56,11
56,46
57,1
57,5
57,4
57,47
57,48
58,10
59,7
60,7
62,1
62,4
62,7
62,5
62,49
62,50
62,26
63,7
64,7
65,1
65,7
65,4
65,51
65,52
65,5
66,1
66,4
66,53
66,54
66,5
67,1
67,5
67,55
68,1
68,5
68,56
69,1
69,5
69,4
69,57
70,1
70,5
71,1
71,5
72,1
72,5
73,1
73,5
74,1
74,5
74,4
74,7
74,58
75,1
75,5
75,4
75,7
75,59
75,60
76,1
76,4
76,6
76,61
76,5
77,1
77,5
77,4
77,7
77,62
77,63
78,1
78,4
78,5
78,63
79,1
79,4
79,5
79,7
79,64
80,1
80,4
80,5
80,7
80,65
80,66
81,1
81,4
81,10
81,7
81,59
81,67
82,1
82,5
82,68
82,6
82,69
83,1
83,5
83,4
83,6
83,70
84,10
85,10
85,7
86,10
87,1
87,5
87,7
88,1
88,10
88,4
88,71
88,72
89,10
90,1
90,10
91,4
91,10
91,73
91,74
92,1
92,10
93,1
93,10
93,7
94,10
95,1
95,10
95,2
96,1
96,5
97,1
97,10
97,4
97,75
100,76
101,10
102,77
103,10
104,10
110,1
110,10
110,4
110,75
111,1
111,4
111,75
111,11
112,10
113,1
113,10
113,4
113,78
113,75
114,1
114,10
114,4
114,79
115,1
115,4
115,10
115,7
115,80
116,1
116,4
116,10
116,7
116,81
117,1
117,4
117,10
117,82
118,15
120,7
127,2
129,15
129,78
130,10
130,83
131,84
131,4
131,85
132,10
132,86
133,87
134,88
135,89
135,10
136,90
136,10
137,91
137,10
138,10
138,92
139,10
139,93
140,94
140,10
141,95
141,10
142,10
142,96
143,10
143,97
144,98
145,99
146,100
147,101
148,102
149,103
150,104
151,105
152,106
153,107
154,10
154,108
155,10
155,109
156,10
156,110
157,10
157,111
158,112
158,10
159,10
159,113
160,10
160,114
161,115
162,10
162,116
163,10
163,117
164,10
164,118
165,10
165,119
166,10
166,120
167,10
167,121
168,122
169,123
170,124
171,125
172,126
173,127
174,128
175,129
176,130
177,131
178,132
179,133
183,5
186,59
188,10
188,7
188,134
190,10
191,1
191,10
191,7
192,1
192,10
192,7
193,1
193,4
193,10
193,24
193,135
194,10
195,10
195,7
196,10
197,10
198,1
198,10
199,10
200,10
201,1
201,10
202,10
202,7
202,59
203,10
203,7
204,10
204,7
205,10
206,10
206,7
207,10
207,7
208,1
208,10
208,7
209,10
209,7
211,10
212,7
213,10
215,136
215,2
215,10
215,7
216,10
216,7
219,1
219,10
220,1
220,10
221,1
221,10
222,1
223,1
225,1
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,10
233,10
234,10
235,10
236,10
237,10
238,10
239,59
239,10
241,10
242,1
244,1
244,7
244,59
244,136
246,7
247,10
247,7
248,136
248,10
248,7
249,136
249,10
249,7
250,59
258,137
259,1
259,4
259,138
259,139
261,59
262,59
263,140
263,141
267,10
267,142
268,10
268,143
269,10
269,144
270,10
270,145
271,10
271,146
272,10
272,147
273,10
273,148
274,149
275,150
276,151
277,152
278,153
279,154
280,155
281,156
282,157
283,158
284,10
284,159
285,10
285,160
286,10
286,161
287,10
287,162
288,10
288,163
289,10
289,164
290,10
290,165
291,10
291,166
292,1
292,167
293,1
293,168
294,169
295,10
295,170
295,171
295,172
296,10
296,173
296,172
297,10
297,174
297,172
298,10
298,175
299,10
299,176
299,140
300,10
300,177
301,10
301,178
302,10
302,179
303,10
303,180
304,10
304,181
305,10
305,182
306,183
307,184
307,59
308,10
308,185
309,10
309,186
310,10
310,7
310,187
311,10
311,188
312,10
312,189
313,10
313,190
314,10
314,191
315,7
315,10
315,192
316,10
316,7
316,193
322,10
326,10
327,194
327,10
328,194
329,194
330,194
330,10
331,194
331,10
332,194
332,10
333,194
333,10
334,194
334,10
335,194
336,194
336,10
337,194
338,194
338,10
339,194
339,10
340,194
340,10
341,194
341,10
342,194
342,10
343,194
343,10
344,194
345,194
345,10
346,194
346,10
347,194
347,10
348,194
348,10
349,194
349,10
350,194
351,194
351,10
352,194
353,194
354,194
354,10
355,194
355,10
356,194
356,10
356,195
357,194
357,10
358,194
358,196
359,194
359,10
360,194
360,10
361,194
361,10
362,194
362,196
363,194
363,10
364,194
364,10
365,194
365,10
366,194
366,10
367,194
367,10
368,194
368,10
369,194
369,10
370,194
370,10
371,194
371,10
372,194
372,10
373,194
373,10
374,194
374,10
375,194
375,10
376,194
376,10
377,194
377,10
378,194
378,10
379,194
379,10
380,194
380,10
381,194
381,10
382,194
382,10
383,194
383,10
384,194
384,10
385,194
385,10
386,194
386,10
387,194
387,10
388,194
388,10
389,194
389,10
390,194
390,10
391,194
391,10
392,194
392,10
393,194
393,10
394,194
394,10
395,194
395,10
396,194
396,10
397,194
397,10
398,194
398,10
399,194
399,10
400,194
400,10
401,194
401,10
402,194
402,10
403,194
403,10
404,194
404,10
405,194
405,10
406,194
406,10
407,194
407,10
408,194
409,194
409,10
410,194
410,10
411,194
411,10
412,194
412,10
413,194
413,10
413,197
414,194
414,198
415,194
415,199
416,194
417,194
417,200
418,194
418,201
419,194
419,202
420,194
420,203
421,194
421,10
421,1
421,204
422,194
422,10
423,194
423,10
424,194
424,10
425,194
425,10
426,194
426,10
427,194
427,10
428,194
428,10
428,1
428,205
429,194
429,10
429,1
430,194
430,5
431,194
431,5
432,194
432,5
433,194
433,1
433,10
434,194
435,194
435,10
436,194
436,10
437,194
437,10
438,194
439,194
439,1
440,194
441,194
442,194
443,194
444,194
445,194
445,1
446,194
446,1
447,194
447,1
448,194
449,194
450,194
451,194
452,194
453,194
454,194
455,194
456,194
457,194
457,10
458,194
458,10
459,194
459,10
460,194
460,10
461,194
461,10
462,194
462,10
463,194
463,10
464,194
464,10
465,194
465,10
466,194
466,10
467,194
467,10
468,194
468,10
469,194
469,10
470,194
470,10
471,194
471,10
472,194
472,10
473,194
473,10
474,194
474,10
475,194
475,10
476,194
476,10
477,194
477,10
478,194
478,10
479,194
480,194
481,194
482,194
483,194
484,194
484,10
485,194
485,10
486,194
486,10
487,194
487,10
488,194
488,10
489,194
489,10
490,194
490,10
491,194
491,10
492,194
492,10
493,194
494,194
495,194
496,194
497,194
498,194
499,194
500,194
501,194
502,194
502,10
503,194
503,10
504,194
504,10
505,194
505,10
506,194
506,10
507,194
507,10
508,194
508,10
509,194
509,10
510,194
510,10
511,194
511,10
512,194
513,194
513,10
514,194
514,10
515,194
515,10
516,194
516,10
517,194
517,10
518,194
518,10
519,194
519,10
520,194
520,10
521,194
521,10
522,194
522,10
523,194
524,194
524,10
525,194
525,10
526,194
526,10
527,194
527,10
528,194
528,10
529,194
529,10
530,194
530,10
531,194
532,194
532,10
533,194
534,194
535,194
536,194
536,5
537,194
537,5
538,194
538,5
539,194
539,5
540,194
540,5
541,194
541,5
542,194
542,5
543,194
544,194
545,194
546,194
547,194
548,194
548,10
549,194
549,10
550,194
550,10
551,194
551,10
552,194
552,10
553,194
553,10
554,194
554,10
555,194
555,10
556,194
556,10
557,194
557,10
558,194
558,10
559,194
559,1
559,10
560,194
560,5
561,194
561,10
562,194
562,10
563,194
563,10
564,194
564,10
565,194
565,10
566,194
566,10
567,194
567,10
568,194
568,5
569,194
569,5
570,194
571,194
571,10
572,194
572,10
573,194
573,10
574,194
574,10
575,194
575,10
576,194
577,194
578,194
578,10
579,194
579,10
580,194
580,5
581,194
581,5
582,194
582,5
583,194
583,10
584,194
584,10
585,194
586,194
587,194
588,194
588,1
588,10
588,59
589,194
590,194
590,10
591,194
591,10
592,194
593,194
594,194
594,10
595,194
595,10
596,194
596,5
597,194
597,5
598,194
598,5
599,194
599,10
600,194
600,10
601,194
601,10
602,194
603,194
604,194
605,206
606,207
607,10
607,208
607,209
608,10
608,210
609,10
609,211
610,10
610,212
611,10
611,213
611,59
612,10
613,214
614,215
615,216
616,217
617,218
618,219
619,220
620,221
621,10
621,222
622,10
622,223
623,224
624,10
624,225
625,78
627,226
627,1
627,4
627,78
627,227
628,78
628,226
629,78
630,78
631,228
631,7
632,10
632,229
633,10
633,7
633,230
634,10
634,7
634,231
635,10
635,7
635,232
636,10
636,7
636,233
637,10
637,7
637,234
638,10
638,235
639,236
640,237
641,238
641,7
642,239
642,10
643,10
643,240
644,10
644,241
645,10
645,242
646,10
646,243
647,10
647,244
648,10
648,245
649,10
649,246
649,7
649,196
650,247
651,248
652,1
652,4
652,249
653,4
653,1
653,10
653,250
654,251
655,252
656,1
656,10
656,253
657,254
658,255
659,256
660,257
661,258
661,7
661,259
662,260
662,261
663,10
663,262
664,10
664,263
665,196
665,264
666,265
667,266
668,196
668,267
669,268
670,196
670,269
671,196
671,270
672,196
672,271
673,272
674,273
675,196
675,274
676,196
676,275
677,196
677,276
678,196
678,277
679,196
679,278
680,196
680,279
681,196
681,280
682,281
683,196
683,282
684,196
684,283
685,196
685,284
686,196
686,285
687,196
687,286
688,196
688,287
689,196
689,288
690,196
690,289
691,196
691,290
692,196
692,291
693,196
693,292
694,196
694,293
695,196
695,294
696,196
696,295
697,196
697,296
698,196
698,297
699,196
699,298
700,196
700,299
701,196
701,300
702,196
702,301
703,302
704,303
705,304
706,305
707,196
707,306
708,196
708,307
709,196
709,308
710,196
710,309
711,196
711,310
712,196
712,311
713,196
713,312
714,196
714,313
715,196
715,314
716,315
717,196
717,316
718,317
719,196
719,318
720,319
721,320
722,196
722,321
723,196
723,322
724,196
724,323
725,196
725,324
726,15
726,196
726,325
727,326
728,327
729,328
730,329
731,330
731,331
732,332
732,333
733,196
733,334
734,196
734,335
735,196
735,336
735,172
736,337
737,196
737,338
738,196
738,339
738,340
739,196
739,341
740,196
740,342
741,196
741,343
742,196
742,344
743,196
743,345
744,196
744,346
745,196
745,347
746,196
746,348
747,196
747,349
748,196
748,350
749,351
750,352
751,353
752,354
753,355
754,356
755,196
755,1
755,357
756,196
756,358
756,1
757,196
757,359
757,333
758,196
758,360
758,333
759,196
760,196
760,361
761,196
761,362
762,196
762,363
763,196
763,364
764,365
765,196
765,366
766,196
766,367
767,196
767,368
768,196
768,369
769,196
769,370
770,196
770,371
771,196
771,372
772,373
773,374
774,375
775,376
776,377
777,196
777,378
778,196
778,379
779,196
779,380
780,196
780,381
781,196
781,382
782,196
782,383
783,196
783,384
784,196
784,385
785,386
786,196
786,387
787,196
787,388
787,209
788,196
788,389
789,196
789,390
790,196
790,391
791,392
792,196
792,393
793,196
793,394
794,196
794,395
795,196
795,396
796,397
797,196
797,398
797,1
797,10
797,24
797,7
798,196
798,399
799,196
799,400
800,196
800,401
801,402
802,403
803,196
803,404
804,405
805,406
806,407
807,408
808,15
808,196
808,409
808,59
809,410
810,15
810,196
810,411
811,196
811,412
812,15
812,196
813,413
814,414
815,196
815,415
816,196
816,416
817,196
817,417
818,196
818,418
819,196
819,419
820,196
820,420
821,196
821,421
822,196
822,422
823,196
823,423
824,196
824,424
825,196
825,425
826,196
826,426
827,196
827,427
828,196
828,428
829,196
829,429
830,196
830,430
831,196
831,431
832,432
833,433
834,434
835,196
835,435
836,436
837,436
838,437
839,438
840,196
840,439
841,196
841,440
842,441
843,196
843,442
844,196
844,443
845,196
845,444
846,196
846,445
847,196
847,446
848,196
848,447
849,196
849,448
850,196
850,449
851,196
851,450
852,196
852,451
853,196
853,452
854,196
854,453
855,196
855,454
856,196
856,455
857,196
857,456
858,196
858,457
859,196
859,458
860,196
860,459
861,196
861,460
862,461
863,196
863,462
864,196
864,463
865,196
865,464
866,196
866,465
867,196
867,466
868,196
868,467
869,196
869,468
870,196
870,469
871,196
871,470
872,196
872,471
873,196
873,472
874,473
875,196
875,474
876,196
876,475
877,196
877,476
878,196
878,477
879,196
879,478
880,196
880,479
881,480
