stick_pk,source_citation_pk
0,1
1,2
1,3
2,2
2,3
3,2
4,2
5,2
5,3
6,2
6,3
6,4
6,5
6,6
7,2
7,3
8,2
9,2
10,2
10,3
10,4
10,5
11,2
12,7
12,8
12,4
12,5
13,9
13,10
14,9
14,10
15,9
15,10
15,4
15,5
16,9
16,10
17,9
17,10
18,9
18,10
19,11
19,10
20,12
21,12
22,13
22,14
23,13
23,14
24,13
24,14
25,13
25,14
26,13
26,14
27,13
27,14
28,13
28,14
29,13
29,14
29,4
29,5
30,13
30,14
31,13
31,14
32,13
32,14
33,13
33,14
33,4
33,5
34,13
34,14
35,13
35,14
36,13
36,14
37,13
37,14
38,13
38,14
39,13
39,14
40,13
40,14
41,13
41,14
42,13
42,14
43,13
43,14
43,4
43,5
44,13
44,14
44,4
44,5
45,13
45,14
45,4
45,5
46,13
46,14
46,4
46,5
47,13
47,14
48,13
48,14
48,4
48,5
49,13
49,14
50,15
50,16
51,15
51,16
52,17
52,18
52,19
53,17
53,20
54,17
54,20
55,17
55,20
56,17
56,20
57,17
57,20
58,1
59,1
60,21
61,22
61,23
62,24
63,25
64,26
65,26
66,27
67,27
68,27
69,27
70,27
71,27
72,27
73,28
73,4
73,5
74,28
74,4
74,5
75,28
76,28
76,4
76,5
77,28
78,28
78,4
78,5
79,28
79,29
80,28
80,4
80,5
81,28
82,28
82,29
83,28
84,28
84,4
84,5
85,28
86,28
86,4
86,5
87,3
87,4
87,5
88,3
89,3
90,30
90,31
90,3
91,3
92,3
92,4
92,5
93,32
94,33
95,34
96,34
97,35
98,4
98,5
99,4
99,5
100,4
100,5
101,4
101,5
102,4
102,5
102,3
103,36
104,37
105,38
106,38
107,38
108,39
109,40
110,41
111,42
112,43
113,44
114,44
115,44
116,44
117,45
118,29
119,29
120,29
121,29
122,29
123,29
262,46
308,47
316,48
317,48
318,48
319,48
320,48
321,48
322,48
323,48
324,48
456,47
640,21
648,21
796,15
796,16
811,4
811,5
996,49
997,50
997,51
998,50
998,51
1002,4
1002,5
1003,4
1003,5
1019,52
1025,53
1027,1
1029,54
1030,54
1031,54
1032,54
1033,54
1043,55
1044,55
