stick_pk,technique_pk
2,1
2,2
2,3
3,1
3,3
3,4
4,3
4,2
5,5
10,1
10,2
11,1
11,6
38,7
45,8
63,2
87,1
87,2
89,1
89,3
89,2
89,4
89,9
189,10
189,2
190,1
196,2
197,10
197,1
202,1
203,2
206,10
206,1
211,10
211,1
213,11
217,10
219,2
224,10
224,1
227,1
228,1
230,10
231,1
233,10
235,10
236,10
238,10
238,1
239,1
240,10
240,1
241,1
242,1
244,10
245,11
245,2
246,11
246,2
247,11
247,2
261,10
264,1
310,12
311,12
312,12
313,12
314,12
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
643,2
645,2
647,2
648,2
649,2
650,2
652,2
653,2
654,2
711,1
712,1
712,2
713,1
714,1
715,1
716,1
718,1
797,3
798,1
798,13
799,3
800,2
801,2
801,1
802,3
803,1
803,14
804,1
804,3
805,3
806,3
975,3
975,2
976,10
977,10
1078,15
1114,16
1263,2
1263,17
1266,2
1266,1
1267,2
1270,2
1270,17
1271,2
1271,1
1274,18
1331,19
1332,2
1333,2
1334,2
1335,2
1336,19
1337,19
1338,19
